id,name,age,gender,votes
1,John Doe,35.0,M,2500.0
2,Jane Smith,28.0,F,1800.0
3,Michael Johnson,42.0,M,3200.0
4,Sarah Williams,31.0,F,2100.0
5,Robert Brown,47.0,M,2800.0
6,Emily Davis,26.0,F,1500.0
7,David Taylor,39.0,M,1900.0
8,Samantha Clark,34.1875,F,2300.0
9,William Anderson,41.0,M,2700.0
10,Logan Green,29.0,M,1900.0
11,Matthew Thomas,36.0,M,2400.0
12,Ava Rodriguez,32.0,F,2600.0
13,James Lee,45.0,M,3000.0
14,Emma Hall,27.0,F,1700.0
15,Liam Harris,38.0,M,2200.0
16,Grace Lewis,30.0,F,2231.25
17,Noah Martin,43.0,M,2900.0
18,Sophia Young,25.0,F,1600.0
19,Benjamin White,37.0,M,2400.0
20,Chloe Turner,34.0,F,2100.0
21,Alexander Hernandez,40.0,M,2700.0
22,Mia Walker,28.0,F,1900.0
23,Ethan Allen,44.0,M,3100.0
24,Logan Green,29.0,M,1900.0
25,Daniel Green,26.0,M,1700.0
26,Abigail Hill,36.0,F,2200.0
27,Logan Adams,29.0,M,1800.0
28,Elizabeth Baker,35.0,F,2400.0
29,Christopher Murphy,34.1875,M,2300.0
30,Isabella Carter,39.0,F,2500.0
31,Emma Hall,27.0,F,1700.0
32,Amelia Mitchell,27.0,F,1600.0
33,David Harris,38.0,M,2100.0
34,Sophia King,32.0,F,2600.0
35,William Clark,42.0,M,2900.0
36,Emma Hall,27.0,F,1700.0
37,Michael Nelson,45.0,M,3100.0
38,Olivia Cooper,25.0,F,1500.0
39,Alexander Allen,41.0,M,2231.25
40,Grace Edwards,33.0,F,2200.0
41,Elijah King,37.0,M,2500.0
42,Samantha Parker,34.0,F,2100.0
43,Lucas Turner,43.0,M,2900.0
44,Ava Baker,26.0,F,1800.0
45,Logan Green,29.0,M,1900.0
46,Charlotte Anderson,39.0,F,2300.0
47,Mason Wilson,31.0,M,2000.0
48,Emily Davis,28.0,F,1700.0
49,Carter Brown,36.0,M,2400.0
50,Sofia Thompson,30.0,F,2000.0
